Headline,Detailed,stock_affected,impact
Interest Rate Hike,"The central bank raises interest rates to combat rising inflation. Businesses struggle to secure loans, construction projects stall, and layoffs begin in the housing sector",0,-0.1
Slowing Price Growth,"Following recent interest rate hikes/reports of decreased consumer spending, inflation figures show a slight deceleration in price increases. Is this a sign of cooling demand or a temporary blip?",1,0.05
Mixed Economic Data,"GDP growth figures are released, showing modest gains in some sectors but contractions in others. Economists are divided on the overall outlook.",1,0
Proposed Tax Reform,"With the economy struggling/a strong majority in parliament, the government proposes a sweeping tax reform package. Supporters claim it will boost investment, while critics warn of increased inequality.",1,0.2
Central Bank Intervention,"Following a period of increased market volatility/sharp currency fluctuations, the central bank engages in open market operations. Is this a routine adjustment or a sign of deeper economic concerns?",2,-0.15
Currency Volatility,"Following a change in interest rates in a major trading partner/recent geopolitical events, the national currency experiences increased volatility against major foreign currencies. Market analysts offer conflicting explanations",2,-0.3
Unemployment Figures Remain Stable,"Despite concerns about economic slowdown, unemployment rates hold steady for the third consecutive month, potentially due to stable GDP growth/government intervention in the labor market. Is this a sign of stability or stagnation before a downturn?",3,0.1
Consumer Sentiment Survey Released,"Following recent major news events (specify the type of news), a recent survey shows a slight dip/increase in consumer confidence. Is this a cause for concern or just a minor fluctuation influenced by the news cycle?",3,0.5
Business Investment Reports Mixed,"Following recent changes in interest rates/increased regulatory uncertainty, reports on business investment show varying trends across different sectors. Some industries are expanding, while others are scaling back.",0,0
Automation Debate Heats Up,"Following recent advancements in automation technology/rising labor costs, discussions about the impact of automation on the workforce intensify. Some predict widespread job displacement, while others argue it will create new opportunities.",0,-0.4
